Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating,Waste_per_Item,Carbon_per_Item,Water_Usage_per_Item
Shein,China,2015,567.44,20.99,25,7494.57,325.37,478.47,159.24,68,5,15.41,188.67,8,1216,2617,-0.58,Negative,188.65,0.14,84.36,98.12,79.31,4.27,0.000843208,0.0132077,0.0005734
Zara,Brazil,2017,507.19,21.66,16,12469.69,195.17,698.87,121.37,57,1,33.78,120.8,4,1029,5416,-0.21,Neutral,614.42,0.87,77.31,31,23.2,2.29,0.00137793,0.0245858,0.000384806
Uniqlo,India,2024,584.35,22.09,17,11855.47,187.55,925.73,86.53,63,1,25.44,101.77,5,4047,1726,-1,Neutral,652.15,0.91,15.38,99.01,95.48,2.47,0.0015842,0.0202883,0.000320955
Uniqlo,Turkey,2021,64.77,30,8,14258.81,163.97,426.69,200.38,57,2,22.47,95.88,3,5620,7495,0.73,Positive,649.22,0.35,95.05,58.16,43.66,2.9,0.00658777,0.220145,0.00253157
Zara,USA,2018,742.58,20.52,24,9346.14,133.36,1084.05,123.26,62,1,16.14,82.43,18,714,5727,-0.59,Positive,572.73,0.16,6.9,94.08,50.69,2.05,0.00145984,0.012586,0.00017959
Zara,Turkey,2017,565.51,22.02,9,13111.14,244.44,609.56,171.13,64,1,18.7,114.98,11,924,7726,-0.17,Neutral,633.23,0.57,5.46,97.31,22.61,1.52,0.00107789,0.0231846,0.000432247
Zara,Indonesia,2023,345.51,16.25,24,13320.97,145.56,583.24,240.67,52,1,19.76,145.91,16,7452,7599,-0.33,Positive,615.93,1,40.58,22.05,76.25,2.71,0.00168806,0.0385545,0.00042129
H&M,Turkey,2021,446.98,14.81,28,15406.49,222.99,896.06,121.53,48,0,28.85,52.78,18,6679,5280,0.43,Positive,441.24,0.78,10.25,51.39,50.89,1.85,0.0020047,0.034468,0.000498881
Shein,Indonesia,2018,662.29,24.98,11,10690.21,229.86,933.18,171.08,56,0,11.56,108.95,5,3508,7792,0.53,Positive,408.05,0.7,43.53,54.93,31.2,2.41,0.00140902,0.0161413,0.000347069
"Forever 21",Vietnam,2023,134.74,20.72,9,9118.1,195.7,496.43,132.15,66,1,26.03,50.01,7,6526,3457,0.73,Positive,769.95,0.26,80,55.27,39.66,0.66,0.00368435,0.0676718,0.00145243
Uniqlo,Brazil,2019,332.43,14.94,29,10019.44,281.17,758.97,126.48,62,3,30.22,122.09,13,239,1474,0.87,Negative,372.05,0.49,87.8,60.55,24.71,1.78,0.0022831,0.03014,0.000845802
Zara,USA,2020,463.12,16.93,27,8703.29,190.2,908.21,142.33,52,2,33.43,134.2,12,4556,4714,-0.98,Neutral,767.13,0.51,97.71,10.31,54.78,4.89,0.00196107,0.0187927,0.000410693
Uniqlo,Turkey,2019,299.34,21.2,25,4461.44,144.23,500.69,117.5,49,2,26.49,95.48,9,1618,6423,-0.86,Negative,587.13,0.49,69.58,45.8,9.21,2.77,0.00167265,0.0149043,0.000481827
Zara,Brazil,2019,706.18,24.78,11,12434.19,131.1,963.76,226.9,48,1,10.06,184.66,18,1371,1863,0.25,Negative,304.49,0.44,5.05,62.75,38.56,4.68,0.00136475,0.0176077,0.000185647
Uniqlo,USA,2015,605.2,20.33,15,13373.06,179.96,912.92,99.02,55,1,32.28,141.84,17,3776,2476,0.45,Positive,435.44,0.11,58.95,61.33,63.77,1.21,0.00150846,0.0220969,0.000297356
Zara,Bangladesh,2024,424.55,21.32,22,7080.65,87.35,892.07,82.52,55,0,38.54,132.24,6,7710,2416,0.09,Neutral,590.51,0.28,61.68,74.29,73.79,2.61,0.00210121,0.016678,0.000205747
"Forever 21",China,2020,472.24,16.9,14,11792.96,164.85,970.68,130.56,40,3,28.91,144.92,10,5838,5718,0.57,Positive,296.54,0.48,50.01,78.51,59.88,1.01,0.00205548,0.0249724,0.000349081
H&M,Turkey,2022,250.31,28.13,16,12379.51,199.01,850.41,131.19,53,0,22.26,164.63,9,2768,6496,0.37,Positive,517.06,0.2,28.92,30.98,25,2.58,0.00339743,0.0494567,0.000795054
"Forever 21",Vietnam,2017,178.28,22.66,25,10332.05,207.54,923.14,121.74,44,0,20.63,141.23,3,7124,1286,0.81,Neutral,501.81,0.17,82.89,34.89,52.16,3.97,0.00517803,0.0579541,0.00116412
Zara,Turkey,2020,451.36,24.01,21,8831.8,295.45,579.4,167.95,44,1,21.54,37.17,10,696,4595,0.06,Negative,416.66,0.81,29.68,54.14,34.52,2.07,0.00128368,0.0195671,0.000654577
Uniqlo,Brazil,2021,585.89,21.74,15,13356.64,310.04,749.03,133.12,50,0,11.73,78.67,17,3553,4557,0.14,Neutral,387.05,0.99,41.47,75.39,87.15,3.39,0.00127845,0.0227972,0.000529178
H&M,Turkey,2018,723.46,17.41,23,11590.57,82.49,728.23,152.83,54,0,28.17,109.93,19,5488,1398,0.53,Neutral,342.11,0.71,77.3,95.14,77.65,3.06,0.00100659,0.016021,0.000114022
H&M,Turkey,2021,562.83,24.32,8,16085.89,257.51,580.72,191.91,64,3,36.23,109.64,11,817,3534,-0.63,Negative,445.02,0.87,88.26,46.63,7.57,1.94,0.00103179,0.0285804,0.000457527
Uniqlo,UK,2015,458.64,24.7,13,8179.9,212.68,1040.02,125.4,54,0,38.28,117.99,5,8497,6001,0.22,Neutral,385.73,0.74,37.45,36.95,4.53,1.75,0.00226762,0.0178351,0.000463719
Zara,Indonesia,2016,472.52,23.26,7,9373.14,326.61,853.71,225.65,64,1,26.44,55.04,19,5430,7921,0.43,Positive,560.93,0.45,66.25,34.7,39.08,0.79,0.00180672,0.0198365,0.000691209
Uniqlo,Turkey,2015,595.89,12.67,26,12352.38,218.64,1172.93,205.5,49,0,22.45,95.85,10,6044,7257,0.2,Neutral,801.08,0.88,86.86,72.43,74.58,2.79,0.00196837,0.0207293,0.000366913
Uniqlo,Vietnam,2017,343.96,21.2,24,11532.38,261.83,668.43,192.73,45,1,32.45,124.8,16,1022,2965,0.65,Positive,193.75,0.16,77.68,82.16,46.15,4.92,0.00194334,0.0335283,0.000761222
Zara,Indonesia,2024,599.84,23.49,25,6974.34,82.24,869.93,71.76,63,2,16.03,171.8,9,4272,4375,-0.81,Positive,520.76,0.77,81.27,70.68,96.73,4.13,0.00145027,0.011627,0.000137103
Zara,Germany,2015,590.37,25.21,8,9707.99,169.77,1042.96,120.12,50,0,12.41,89.05,17,3939,1308,-0.99,Positive,722.67,0.94,41.48,40.23,39.06,0.35,0.00176662,0.0164439,0.000287565
Uniqlo,China,2021,701.91,24,7,7544.71,291.94,899.97,80.03,63,1,28.56,104.63,14,5332,2267,0.43,Negative,944,0.63,5.33,45.48,67.48,3.39,0.00128217,0.0107488,0.000415922
Shein,Brazil,2020,583.74,19.2,26,8441.82,209.21,835.56,152.7,61,0,14.69,156.93,17,715,4551,-0.09,Positive,837,0.7,83.74,16.97,1.91,3.9,0.00143139,0.0144616,0.000358396
H&M,Turkey,2023,733.12,24.27,17,15717.82,172.21,848.65,185.88,65,1,27.18,131.59,13,8235,2973,-0.29,Positive,459.11,0.15,3.17,42.33,8.46,3.03,0.00115759,0.0214396,0.0002349
Uniqlo,India,2022,330.41,23.11,18,13638.46,169.79,679.36,118.17,56,2,35.42,114.53,9,5850,7485,0.63,Positive,403.07,0.87,93.8,8.51,38.56,0.36,0.00205611,0.0412774,0.000513877
Shein,Bangladesh,2024,401.06,16.48,25,9665.19,153.74,866.74,151.03,64,2,33.95,83.9,12,4234,3661,-0.29,Positive,291.59,0.71,6.26,21.05,80.9,0.73,0.00216112,0.0240991,0.000383334
H&M,Germany,2019,632.18,18.1,29,9905.68,149.09,914.63,60.71,69,0,27.42,85.03,5,6159,3233,-0.65,Negative,503.61,0.89,44.17,98.42,39.57,3.58,0.00144679,0.0156691,0.000235835
H&M,USA,2023,370.41,13.08,27,11625.53,298.47,1025.89,184.08,54,0,11.35,125.22,11,4235,6853,-0.97,Negative,292.19,0.57,47.09,65.61,55.96,3.44,0.00276961,0.0313856,0.000805783
H&M,Bangladesh,2023,379.78,21.65,21,4888.39,144.53,1112.58,136.3,69,3,32.09,152.93,6,6239,1624,0.86,Neutral,507.66,0.77,27.94,13.17,85.47,0.83,0.00292954,0.0128716,0.000380562
"Forever 21",Germany,2017,495.41,25.87,27,8355.19,250,579.03,161.03,53,0,38.17,110.86,7,7969,357,0.35,Neutral,647.78,0.3,21.82,87.41,24.97,1.32,0.00116879,0.0168652,0.000504633
"Forever 21",Bangladesh,2021,580.22,26.14,18,7697.74,147.42,523.6,162.5,63,2,18.74,100.31,15,8202,7446,-0.07,Neutral,353.42,0.78,15.45,48.73,43,2.98,0.000902416,0.0132669,0.000254076
"Forever 21",Brazil,2022,675.75,18.17,18,13392.95,245.02,826.28,129.63,58,2,25.04,57.48,17,3172,1117,-0.95,Positive,844.94,0.5,23.75,4.96,72.46,0.56,0.00122276,0.0198194,0.00036259
Shein,Bangladesh,2017,272.42,23.75,17,13663.71,170.77,1085.82,119.25,50,1,26.69,126.06,8,8200,542,0.65,Positive,542.99,0.57,77.52,23.44,34.51,0.15,0.00398583,0.0501568,0.000626863
Shein,Indonesia,2016,513.76,21.26,24,13625.35,302.17,580.91,177.3,67,4,18.45,149.74,16,6326,5355,-0.44,Neutral,707.68,0.23,31.32,84.95,8.9,4.96,0.0011307,0.0265208,0.000588154
H&M,USA,2019,549.31,20.14,29,11921.44,188.57,864.81,92.62,63,0,23.46,127.93,10,8102,4297,0.63,Positive,645.04,0.78,5.56,0.69,21.24,3.32,0.00157436,0.0217026,0.000343285
H&M,Indonesia,2023,243.89,12.23,23,13406.86,133.62,635.1,119.57,69,4,24.57,130.45,16,5143,1024,-0.13,Neutral,353.51,0.25,11.66,54.67,90.24,1.72,0.00260404,0.0549709,0.00054787
Uniqlo,Germany,2016,627.83,26.26,23,15689.24,213.19,1078.51,47.54,59,0,34.8,116.32,15,1816,360,-0.28,Negative,518.67,0.18,58.51,22.63,89.57,3.92,0.00171784,0.0249896,0.000339566
H&M,Bangladesh,2017,633.05,27.57,16,7144.24,204.65,851.55,87.91,68,0,22.71,99.06,4,6786,1637,-0.95,Neutral,651.45,0.57,21.83,98.94,57.44,0.69,0.00134515,0.0112854,0.000323276
Zara,USA,2018,596.68,21.53,20,9719.09,279.55,542.57,80.14,54,0,26.72,128.48,18,689,4574,0.68,Positive,441.86,0.3,38.1,80.84,82.36,1.92,0.000909315,0.0162886,0.000468509
H&M,China,2015,219.54,18.06,8,9573.98,154.47,928.08,157.45,65,1,29.69,121.77,16,9777,6206,-0.55,Positive,589.37,0.32,51.23,77.36,4.4,3.47,0.00422738,0.0436093,0.000703608
Uniqlo,China,2018,316.4,23.38,8,13477.22,179.82,885.1,209.86,56,3,25.95,67.16,17,4007,857,-0.69,Negative,559.98,0.84,4.19,41.92,16.82,4.4,0.00279741,0.0425955,0.000568331
Zara,Indonesia,2017,272.83,21.61,29,12682.15,170.2,789.94,118.04,46,2,32.57,179.7,9,6815,3731,0.65,Positive,570.19,0.23,83.29,54.03,84.47,2.16,0.00289536,0.0464837,0.000623832
Zara,China,2024,609.84,18.93,15,9830.23,273.14,409.78,157.18,59,0,36.53,157.53,13,7363,5557,-0.35,Neutral,545.25,0.31,21.09,85.72,82.04,2.2,0.000671947,0.0161194,0.000447888
Uniqlo,Turkey,2021,453.45,15.16,28,10220.3,179.82,1056.47,204.39,56,0,15.94,116.86,4,7515,2465,-0.12,Positive,-40.7,0.82,72.42,69.04,34.05,4.02,0.00232985,0.022539,0.00039656
Shein,Indonesia,2017,413.12,18.88,16,11473.62,178.52,772.12,186.98,61,0,22.6,99.26,17,6547,2395,0.18,Negative,709.03,0.46,97.38,54.42,27.52,3.55,0.001869,0.0277731,0.000432126
H&M,Indonesia,2020,571.02,18.66,20,5797.24,203.63,763.27,108.26,50,1,16.78,116.68,17,9217,3784,-0.58,Negative,320.67,0.78,5.13,49.25,44.21,1.67,0.00133668,0.0101524,0.000356607
"Forever 21",USA,2018,600.97,8.15,24,8046.81,161.96,905.51,136.93,68,0,18.05,85.37,18,7208,999,-0.93,Neutral,149.63,0.45,69.72,19.34,64.15,1.3,0.00150675,0.0133897,0.000269498
Uniqlo,India,2018,349.67,16.24,24,12587.3,220.43,712.28,167.75,43,0,11.36,134.03,6,6029,6842,-0.69,Negative,916.25,0.99,97.73,79.38,65.94,2.89,0.00203701,0.0359977,0.000630394
"Forever 21",Indonesia,2015,438.55,23.56,26,8899.52,289.87,1222.87,102.33,63,2,38.03,147.84,6,3498,5579,0.05,Positive,608.57,0.33,47.1,49.22,19.5,3.26,0.00278844,0.0202931,0.000660974
H&M,Bangladesh,2021,599.27,23.19,15,12701.2,227.07,1036.7,91.1,56,2,10.04,89.81,12,8735,347,-0.53,Neutral,431.2,0.66,74.71,21.87,5.99,0.65,0.00172994,0.0211945,0.000378911
Uniqlo,Germany,2018,660.93,21.63,16,11101.51,125.92,600.02,138.14,65,0,12.45,87.87,6,1509,1744,0.61,Negative,882.28,0.46,80.6,59.2,16.59,0.12,0.000907842,0.0167968,0.000190519
"Forever 21",UK,2016,607.52,9.47,10,4994.2,263.52,765.44,188.6,63,5,19.24,131.21,8,8486,712,-1,Negative,720.39,0.34,21.79,66.18,63.37,2.97,0.00125994,0.00822063,0.000433763
H&M,USA,2017,674.75,13.77,19,9749.82,8.73,936.53,134.27,62,2,10,92.51,16,2337,4104,0.63,Neutral,771.09,0.9,82.36,89.88,55.31,4.06,0.00138797,0.0144495,0.0000129381
H&M,India,2021,733.81,14.56,10,5833.28,164.29,743.42,119.05,62,0,34.89,118.03,18,6854,3653,0.17,Neutral,565.57,0.83,32.69,30.57,40.27,3.36,0.0010131,0.00794931,0.000223886
"Forever 21",Indonesia,2023,327,25.69,24,14044.44,154.1,642.17,167.28,59,3,31.91,84.54,17,5262,2308,-0.55,Positive,589.89,0.6,52.36,28.23,29.81,1.39,0.00196382,0.0429494,0.000471254
Uniqlo,Vietnam,2020,600.89,26.01,21,10588.39,145.76,490.21,162.9,65,0,37.98,67.31,8,1041,1957,-0.38,Neutral,535.73,0.65,89.79,80.99,58.31,3.65,0.000815807,0.0176212,0.000242574
H&M,Bangladesh,2022,709.94,13.29,9,11796.22,144.79,394.92,190.45,60,2,39.26,104.55,6,9390,5649,0.51,Negative,674.22,0.51,41.23,93.47,25.09,0.6,0.000556272,0.0166158,0.000203947
Zara,Germany,2015,564.25,20.39,27,7581.35,196.2,604.4,149.91,53,0,22.02,66.18,17,6819,7463,0.3,Negative,228.91,0.16,81.37,94.05,64.88,4.77,0.00107116,0.0134362,0.000347718
Shein,UK,2017,488.38,14.02,12,7009.55,203.89,719.6,186.52,51,1,32.03,184.95,11,4486,7737,-0.31,Positive,738.11,0.82,54.03,7.93,56.59,4.54,0.00147344,0.0143527,0.000417482
H&M,UK,2022,263.45,15.99,21,13186.05,210.05,1074.8,72.86,46,3,12.41,188.14,6,792,4400,0.88,Positive,419.12,0.21,87.51,97.09,17.72,3.61,0.00407971,0.0500514,0.000797305
H&M,Germany,2019,484.79,17.54,10,11196.09,170.65,490.77,207.65,61,0,34.43,99.75,17,5911,5656,-0.24,Neutral,419.38,0.15,59.95,90.24,38.32,1.08,0.00101234,0.0230947,0.000352008
Zara,USA,2019,408.9,19.61,16,10977.52,272.5,1028.29,122.03,61,0,38.06,46.97,18,6082,4031,-0.67,Negative,197.95,0.47,1.43,47.83,2.1,4.1,0.00251477,0.0268465,0.000666422
"Forever 21",India,2016,574.86,22.82,26,5366.87,207.94,681.5,161.75,68,0,14.29,94.23,5,5615,2720,0.71,Negative,662.71,0.96,88.36,27.06,19.42,2.37,0.00118551,0.00933596,0.000361723
"Forever 21",Brazil,2022,658.33,33.75,8,10470.08,261.41,835.06,83.16,44,1,27.68,58.05,14,1789,1567,0.04,Negative,110.15,0.32,35.81,98.95,68.43,4.74,0.00126845,0.015904,0.00039708
"Forever 21",UK,2018,449.93,14.94,19,12910.59,127.7,1029.51,113.57,48,1,20.06,123.31,18,6011,3553,-0.77,Negative,601.48,0.54,16.95,5.1,61.75,1.04,0.00228816,0.0286947,0.000283822
H&M,Brazil,2018,359.8,21.06,20,7307.53,121.27,900.54,132.59,61,1,28.92,140.3,14,4634,3853,-0.16,Positive,788.9,0.62,83.26,80.42,86.64,0.3,0.00250289,0.02031,0.000337048
"Forever 21",UK,2015,380.67,22.12,8,15905.43,172.88,1027.75,248.51,61,0,30.26,89.97,14,9754,4136,0.14,Neutral,443.26,0.49,12.76,40.91,35.44,1.51,0.00269985,0.0417827,0.000454147
Zara,UK,2015,637.96,25.29,18,14492.3,311.46,779.31,88.05,62,0,16.74,114.5,18,2487,2444,-0.48,Negative,166.04,0.73,56.74,79.62,73.5,3.05,0.00122157,0.0227166,0.000488212
Shein,USA,2024,333.26,19.82,10,7214.88,234.07,637.89,63.2,50,0,32.04,121.93,10,5722,1428,-0.88,Positive,427.98,0.13,71.44,36.16,12.54,1.27,0.00191409,0.0216494,0.000702365
Zara,USA,2022,298.42,24.25,22,10687.22,264.46,844.87,195.2,58,2,17.67,91.67,18,8015,7065,-0.51,Neutral,402.83,0.38,55.51,58.8,42.65,3.08,0.00283114,0.0358127,0.000886201
Uniqlo,India,2018,510.69,13.53,25,9237.26,202.48,1046.35,67.98,43,2,37.98,116.78,17,9973,672,0.36,Negative,699.88,0.94,99.69,72.02,28.72,4.4,0.00204889,0.0180878,0.000396483
H&M,Indonesia,2021,458.5,22.25,8,8821.59,118.23,939.8,137.82,48,1,22.32,136.79,16,278,2294,0.53,Positive,537.51,0.72,96.56,39.36,13.07,3.36,0.00204973,0.0192401,0.000257863
Shein,China,2024,579.66,28.11,15,7556.49,283.06,725.04,127.47,59,1,22.16,95,18,4579,2313,0.65,Negative,372.34,0.82,32.37,76.52,14.32,3.29,0.0012508,0.0130361,0.000488321
Zara,USA,2017,471.48,20.28,22,9930.93,156.28,741.6,127.3,67,1,26.38,98.98,8,1013,6408,0.71,Neutral,676.53,0.4,5.38,66.94,23.13,1.22,0.00157292,0.0210633,0.000331467
Shein,Indonesia,2024,441.15,19.13,16,9613.3,220.44,1040.61,188.77,47,1,33.5,97.19,6,478,4532,-0.66,Negative,535.58,0.15,71.75,47.55,84.91,1.92,0.00235886,0.0217915,0.000499694
H&M,India,2022,550.83,18.33,26,6330.41,301.67,452.12,185.23,56,2,31.28,156.55,19,3039,5193,-0.72,Negative,711.47,0.65,30.63,32.61,7.09,1.75,0.000820798,0.0114925,0.000547664
Shein,Indonesia,2023,442.36,22.61,20,12989.57,156.22,595.48,134.85,69,1,11.68,125.67,4,9397,2599,-0.07,Negative,165.16,0.13,12.19,41.59,6.31,1.98,0.00134614,0.0293643,0.000353151
Uniqlo,USA,2018,107.11,13.01,29,3178.15,328.1,1048.28,132.55,44,2,23.74,145.74,9,1605,911,0.19,Positive,334.36,1,43.53,92.07,34.5,0.27,0.00978695,0.0296718,0.00306321
H&M,Bangladesh,2016,444.41,13.26,7,11436.46,240.77,829.88,135.58,40,0,31.17,88.05,13,1667,2258,0.44,Negative,341.16,0.2,3.56,99.43,23.27,0.27,0.00186737,0.025734,0.000541774
Shein,Turkey,2021,687.93,17.76,18,12609.81,266.91,839.8,158.31,57,1,33.34,128.32,12,8042,5465,-0.44,Neutral,495.54,0.8,88.65,39.86,86.29,1.34,0.00122076,0.0183301,0.00038799
Shein,China,2024,670.84,20.55,20,5736.54,168.97,694.92,201.49,63,0,39.76,79.83,5,6529,5134,0.75,Negative,531.95,0.91,49.3,33.02,10.68,4.77,0.0010359,0.00855128,0.000251878
H&M,USA,2018,477.45,18.37,22,13377.08,128.05,603.24,199.54,64,0,37.28,134.55,8,6564,228,-0.05,Positive,406.44,0.76,13.9,44.01,48.29,1.06,0.00126346,0.0280178,0.000268196
Zara,UK,2015,448.76,20.01,28,10160.57,214.58,1011.11,150.52,52,1,14.8,93.22,19,1961,5319,0.48,Neutral,602.72,0.68,15.58,54.7,8.74,1.89,0.00225312,0.0226414,0.000478162
Uniqlo,UK,2023,424.47,19.53,18,8851.55,192.58,720.46,90.8,64,1,34.87,191.41,18,1457,3275,0.54,Negative,532.23,0.67,63.33,45.03,53.11,3.73,0.00169732,0.0208532,0.000453695
Uniqlo,Vietnam,2022,580.92,24.47,16,9392.43,168.3,1007.22,78.85,46,2,26.56,106.97,17,5901,5988,0.29,Positive,196.86,0.64,69.61,36.25,82.4,1.02,0.00173384,0.0161682,0.000289713
Shein,UK,2015,711.53,19.27,7,10999.04,59.3,536.97,131,67,0,30.7,109.03,7,2323,4572,-0.83,Positive,469.74,0.28,54.55,20.71,54.4,1.16,0.00075467,0.0154583,0.0000833415
H&M,USA,2020,452.21,25.41,29,11418.75,187.19,932.55,109.64,60,1,12.43,131.07,7,656,5251,-0.6,Negative,621.45,0.9,11.49,0.38,50.2,2.92,0.00206221,0.025251,0.000413945
H&M,Indonesia,2018,406.6,20.55,18,9279.02,99.81,948.78,108.36,59,1,17.85,153.25,5,886,4418,-0.4,Negative,583.62,0.49,31.22,72.51,79.63,4.16,0.00233345,0.022821,0.000245475
"Forever 21",Vietnam,2023,250.44,25.25,9,11288.02,222.78,688.78,143.5,49,0,21.62,89.1,8,6131,4293,-0.63,Positive,980.15,0.77,54.57,20.41,29.19,3.74,0.00275028,0.0450728,0.000889554
"Forever 21",Turkey,2015,275.15,19.54,25,2905.29,242.69,1045.43,172.72,56,2,17.57,88.92,18,5191,2009,-0.92,Negative,470.69,0.98,24.24,66.33,83.91,2.75,0.00379949,0.0105589,0.000882028
Shein,Bangladesh,2015,571.09,16.4,8,15723.43,195.65,749.7,204.72,58,0,29.45,109.52,10,5290,4625,0.71,Neutral,345.49,0.41,86.96,8.81,77.68,4.24,0.00131275,0.0275323,0.00034259
H&M,Bangladesh,2024,458,13.6,10,10943.44,310.29,566.49,176.03,56,2,31.13,124.02,16,7770,5183,0.39,Positive,548.13,0.27,9.27,53.22,82.16,0.51,0.00123688,0.023894,0.000677489
"Forever 21",UK,2015,587.01,22.72,6,16045.83,277.44,720.56,94.89,61,2,13.64,94.97,13,3618,7658,0.2,Negative,616.69,0.54,52.87,33.44,51.93,0.99,0.00122751,0.0273349,0.000472632
Zara,Brazil,2020,421.71,22.53,15,15770.34,153.52,462.16,126.44,60,0,12.09,112.63,11,5513,1319,0.72,Positive,672.33,0.38,85.22,4.09,4.97,3.12,0.00109592,0.0373962,0.000364042
Uniqlo,Bangladesh,2019,472.58,17.72,29,10054.05,228.36,526.63,179.63,63,2,23.7,141.53,12,8316,4988,0.58,Negative,392.92,0.46,42.5,38.29,71.91,2.74,0.00111437,0.0212748,0.00048322
Shein,Turkey,2015,466.23,15.79,25,16509.81,114.58,429.63,189.18,63,2,22.13,141.21,15,5820,3163,0.26,Positive,1049.73,0.51,48.2,75.78,28.19,1.59,0.000921498,0.0354113,0.000245759
Shein,USA,2018,631.04,19.85,10,6809.06,158.33,609,151.84,51,2,35.82,152,14,6259,7368,0.16,Neutral,435.62,0.79,40.64,87.98,64.87,4.5,0.000965074,0.0107902,0.000250903
"Forever 21",Vietnam,2019,357.36,21.59,23,9750.49,272.7,606.93,233.93,42,0,15.52,115.1,13,7887,4171,0.89,Neutral,823.96,1,45.03,25.25,44.28,4.24,0.00169837,0.0272848,0.000763096
H&M,Indonesia,2021,559.77,22.19,15,9823.71,169.7,815.9,153.27,67,1,29.04,92.72,4,977,7443,0.5,Positive,558.11,0.95,67.66,36.34,93.82,1.38,0.00145756,0.0175495,0.00030316
Shein,Brazil,2018,685.21,14.84,13,7410.9,102.62,651.76,117.79,61,4,34.06,151.65,13,4102,5679,-0.56,Positive,462.62,0.39,75.62,39.38,60.82,2.22,0.000951183,0.0108155,0.000149764
Shein,Turkey,2016,373.91,23.75,17,7724.61,141.78,1091.64,91.83,56,1,27.5,170.53,6,8724,6252,-0.18,Neutral,700,0.55,0.74,69.17,66.13,0.19,0.00291953,0.020659,0.000379182
"Forever 21",China,2017,523.11,19.79,24,13477.7,202.82,365.83,124.37,64,2,24.25,131.65,19,7097,5283,0.73,Negative,481.04,0.53,6.88,54.97,41.72,4.39,0.000699337,0.0257646,0.00038772
Uniqlo,Brazil,2019,578.98,17.61,26,7436.27,101.62,1048.91,150.5,58,0,15.78,108.21,15,7567,7224,-0.98,Negative,355.79,0.17,37.59,82.05,0.71,2.28,0.00181165,0.0128437,0.000175516
Shein,Turkey,2023,441.93,19.26,15,7685.36,123.35,839.18,243.46,40,1,15.53,105.64,10,7438,5744,-0.42,Positive,571.9,0.61,11.19,60.95,56.84,3.96,0.0018989,0.0173904,0.000279117
H&M,Turkey,2020,634.44,20.11,12,13291.9,106.06,198.47,178.56,61,1,24.17,129.74,3,9508,6430,-0.89,Positive,474.78,0.62,8.26,15.45,43.96,2.55,0.000312827,0.0209506,0.000167171
Zara,Brazil,2020,371.47,14.37,18,9754.14,265.45,645.25,226.9,60,2,34.32,110.39,17,8549,624,0.38,Positive,504.95,0.77,21.31,86.72,95.58,1.18,0.00173702,0.0262582,0.000714593
Uniqlo,USA,2020,488.54,19.26,29,10450.87,315.92,1057.33,119.5,42,0,36.87,118.13,5,1849,2892,-0.32,Positive,464.47,0.83,23.83,22.44,50.45,1.3,0.00216426,0.021392,0.000646662
Uniqlo,Vietnam,2022,64.33,22.96,19,10675.17,172.57,971.39,167.75,57,2,21.16,117.25,11,6956,6687,-0.75,Neutral,322.45,0.64,55.04,51.4,69.01,4.19,0.0151001,0.165944,0.00268257
Shein,Brazil,2020,608.16,18.36,7,15852.56,216.27,987.92,105,45,0,34.65,132.38,14,6376,5789,-0.62,Positive,379.52,0.38,97.49,41.11,44.47,2.88,0.00162444,0.0260664,0.000355614
Shein,USA,2020,673.91,24.87,28,9250.08,199.88,866.04,149.73,58,0,35.25,75.48,12,608,2429,-0.03,Positive,458.31,0.3,25.4,87.77,8.96,3.58,0.0012851,0.013726,0.000296597
Uniqlo,Bangladesh,2018,636.38,16,15,10013.5,185.44,755.12,201.06,43,0,12.04,85.88,14,3495,863,0.69,Positive,321.43,0.42,68.72,31.28,6.09,3.51,0.00118659,0.0157351,0.000291398
Uniqlo,Germany,2015,497.02,19.46,25,10671.36,188.12,580.35,141.56,42,0,23.39,147.96,9,1136,1882,-0.79,Negative,719.33,0.61,53.15,45.8,39.68,2.16,0.00116766,0.0214707,0.000378496
Uniqlo,Indonesia,2021,519.58,11.46,12,10552.4,123.21,709.77,237.37,50,1,37.89,130.35,4,6165,6657,-0.07,Negative,330.05,0.22,92.77,86.77,70.76,0.53,0.00136605,0.0203095,0.000237134
Zara,China,2023,597.41,22.91,27,7100.43,321.38,799.89,121.6,56,1,25.86,122.9,7,7745,3876,-0.41,Positive,435.21,0.59,13.34,69.16,79.5,0.82,0.00133893,0.0118854,0.000537955
Shein,Indonesia,2021,511.82,25.27,14,11250.92,185.81,590.03,140.9,59,1,13.37,107.81,8,2600,4616,0.64,Neutral,376.63,0.97,45.39,50.7,57.22,4.66,0.00115281,0.0219822,0.000363038
Shein,Germany,2015,466.58,21.21,12,10962.63,190.13,952.67,175.57,45,1,34.66,159.91,5,3583,6808,0.54,Negative,764.21,0.78,58.84,21.27,9.7,0.32,0.00204181,0.0234957,0.000407497
